,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
1853,supta baddha konasana,"can help to relieve tension in the lower back, promoting relaxation and reducing pain.","can help to stimulate the abdominal organs, aiding in digestion and elimination.",help relieve tension lower back promoting relaxation reducing pain,help stimulate abdominal organs aiding digestion elimination,32
1854,ushtrasana,"We flex spine in the opposite direction by doing a backbend, and this toning enhances body posture.",Camel Pose(Ustrasana) is effective in detoxifying the body.,flex spine opposite direction backbend toning enhances body posture,camel poseustrasana effective detoxifying body,6
1855,vakrasana,Stimulates the nervous system and improves blood circulation.,"tones the muscles of the back and thus brings stability to the spine,tones the internal organs like the digestive system, intestines, uterus and kidney",stimulates nervous system improves blood circulation,tones muscles back thus brings stability spinetones internal organs like digestive system intestines uterus kidney,36
1856,ardha katicakrasana,Stimulates digestion.,Reduces stress and anxiety. Helps to overcome depression.,stimulates digestion,reduces stress anxiety helps overcome depression,33
1857,kati chakrasana,"This asana tones the neck, shoulders, waist, back and hips. It is useful for correcting back stiffness and postural problems.",good for relieving constipation,asana tones neck shoulders waist back hips useful correcting back stiffness postural problems,good relieving constipation,34
1858,rajakapotasana,The pelvic muscles are stretched and toned giving room for improved reproductive system.,"Reduces any form of lower back irritation, leg cramps thus taking care of the sciatic nerve",pelvic muscles stretched toned giving room improved reproductive system,reduces form lower back irritation leg cramps thus taking care sciatic nerve,21
1859,ardha katicakrasana,Reduces stiffness in the back and hips. Relieves backache.,Helps to relieve constipation and other digestive disorders. Boosts immunity and improves overall health and wellbeing.,reduces stiffness back hips relieves backache,helps relieve constipation digestive disorders boosts immunity improves overall health wellbeing,33
1860,dhanurasana,"can help to stretch and open up the entire body, including the chest, shoulders, abdomen, thighs, and hips.","It strengthens leg muscles, especially the thighs.",help stretch open entire body including chest shoulders abdomen thighs hips,strengthens leg muscles especially thighs,28
1861,prasarita padottanasana,"can help to strengthen the leg muscles and core muscles, improving overall stability and balance.","The breath is rhythmic and at its natural pace. The heart is relaxed with the increased venous capacity, and the back of the lungs expands due to the upper body stretch.",help strengthen leg muscles core muscles improving overall stability balance,breath rhythmic natural pace heart relaxed increased venous capacity back lungs expands due upper body stretch,5
1862,upavistha konasana,"It also improves flexibility in the legs, shoulders, hands, neck, arms, spine and increases energy.",beneficial for pregnant or menstruating women. This pose helps in infertility and menstruation in women.,also improves flexibility legs shoulders hands neck arms spine increases energy,beneficial pregnant menstruating women pose helps infertility menstruation women,26
1863,bhujangasana,This asana improves and deepens breathing. It can help to remove backache and keep the spine supple and healthy.,"It stimulates the appetite, alleviates constipation and is beneficial for all the abdominal organs, especially the liver and kidneys.",asana improves deepens breathing help remove backache keep spine supple healthy,stimulates appetite alleviates constipation beneficial abdominal organs especially liver kidneys,11
1864,ardha katicakrasana,Reduces stiffness in the back and hips. Relieves backache.,Alleviates back pain and sciatica.,reduces stiffness back hips relieves backache,alleviates back pain sciatica,33
1865,padmasana,"Padmasana allows the body to be held completely steady for long periods of time. It holds the trunk and head like a pillar with the legs as the firm foundation. As the body is steadied, the mind becomes calm. This steadiness and calmness is the first step towards real meditation.",The normally large blood flow to the legs is redirected to the abdominal region.,padmasana allows body held completely steady long periods time holds trunk head like pillar legs firm foundation body steadied mind becomes calm steadiness calmness first step towards real meditation,normally large blood flow legs redirected abdominal region,1
1866,vakrasana,Relieves stress and anxiety by calming the mind.,Improves flexibility of the spine and hips.,relieves stress anxiety calming mind,improves flexibility spine hips,36
1867,utkata konasana,"It energizes the body, relieves stress and gives a general sense of well-being.","The entire upper body, shoulders, chest, spine, neck, middle and upper back get stretched in this pose, while the lower body gets strong.",energizes body relieves stress gives general sense wellbeing,entire upper body shoulders chest spine neck middle upper back get stretched pose lower body gets strong,25
1868,utkata konasana,It builds strength and stability within the lower body and a strong base for the hips and spine.,"It energizes the body, relieves stress and gives a general sense of well-being.",builds strength stability within lower body strong base hips spine,energizes body relieves stress gives general sense wellbeing,25
